Date,Dealer,Region,Vehicle_Model,Fuel_Type,Category,Units_Sold,Unit_Price,Customer_Satisfaction_Score,Revenue,Year,Image_URL
2020-06-25,Hyundai Motor Plaza,South,Venue,Diesel,SUV,39,2745111,7.9,107059329,2020,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2023-03-07,Hyundai Motor Plaza,South,Venue,Petrol,SUV,30,1338540,5.4,40156200,2023,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2021-04-09,Hyundai Motor Plaza,North,i20,Petrol,Hatchback,23,891698,9.0,20509054,2021,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/HATCHBACK%203D.jpg
2023-05-07,Ford India Motors,West,Ecosport,Electric,SUV,41,2558345,6.1,104892145,2023,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2023-05-19,Toyota Trust India,Central,Camry,Petrol,Sedan,6,1582263,6.2,9493578,2023,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SEDAN%203D.jpg
2022-06-11,Hyundai Motor Plaza,West,Venue,Diesel,SUV,20,2567213,9.5,51344260,2022,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2025-03-06,Ford India Motors,North,Ecosport,Diesel,SUV,30,2831729,7.6,84951870,2025,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2025-09-20,Honda Car Hub,North,Jazz,Petrol,Hatchback,3,757488,9.3,2272464,2025,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/HATCHBACK%203D.jpg
2023-08-28,Kia Motors Arena,North,Seltos,Petrol,SUV,32,1330081,5.8,42562592,2023,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2025-01-19,Hyundai Motor Plaza,East,Creta,Petrol,SUV,22,1578440,6.5,34725680,2025,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2023-03-07,BYD Electric India,East,Atto 3,Petrol,Electric,12,2004791,9.6,24057492,2023,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/EV%203D.jpg
2021-10-02,Kia Motors Arena,West,Seltos,Petrol,SUV,1,1888663,8.1,1888663,2021,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2021-08-21,MG Motors India,North,Hector,Diesel,SUV,36,1839099,5.6,66207564,2021,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2020-06-10,Honda Car Hub,North,Jazz,Diesel,Hatchback,26,512287,8.7,13319462,2020,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/HATCHBACK%203D.jpg
2023-05-11,Tata Motors Autoworld,East,Altroz,Petrol,Hatchback,20,526318,5.4,10526360,2023,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/HATCHBACK%203D.jpg
2020-01-07,Tata Motors Autoworld,West,Nexon,Petrol,SUV,3,2963037,8.3,8889111,2020,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/SUV%203D.jpg
2025-06-08,Hyundai Motor Plaza,East,i10,Petrol,Hatchback,41,877640,8.3,35983240,2025,https://raw.githubusercontent.com/aniketaditya29/Automobile-Sales-Market-Trend-Analysis-Power-BI-Python-Project/main/stock%20images/HATCHBACK%203D.jpg
